id,name
20,The Decaf
28,Peaberry Dark
29,Peaberry Light
37,The Doppelgänger
47,Jam Jar
48,Nacimiento
49,Karogoto
50,Intenso
51,Desta Gola
52,Finca Tamana Varietales
53,Finca Tamana Caturron
54,Paradise Decaf
56,Kilimbi
63,The Decaf
74,Rosso Decaf
78,Catur Kamala Decaf
79,Decaf - Kenya
83,Angel Reyes Sidra
84,Muyinga Hafi
85,Turning Point
86,Basecamp
87,Day Tripper
88,Diego Bermudez
89,Amparo Botina
90,Gaharo Hill
91,Wilton Benitez
92,Buttercream
93,Peru San Ignacio
94,Weekend Blend
95,Freshly Baked
96,Decaf - Popayan
97,Decaf - Asopep
98,Finca Armenia
99,Ximena Leon Sidra & Typica
100,"Nicaragua, Las Segovias"
102,Guatemala - Puerta Verde
103,Ethiopia - Gigesa Guji
104,Peak Season
105,Grape Lace
106,Marcela & Esmeralda
107,Day Tripper
108,Rosso Decaf
109,Genji Challa
110,Kianyangi AA
111,Irineo Ramirez
112,Humure Station
113,Boa Bedegelo
