id,trial_id,sample_id,weight_empty_boat,brix_percent,weight_boat_plus_liquid,weight_dry_1,weight_dry_2,weight_dry_3,weight_dry_4,weight_dry_5,weight_dry_6,weight_dry_7,notes
1,1,1,0.441,17.1,4.024,0.994,0.983,0.978,,,,,Unfiltered samples definitely produce a blurry line in refractometer
2,1,2,0.430,13.8,4.573,0.951,0.935,0.930,,,,,Accidentally tared after putting boat on scale; added weight of empty boat to get this value
3,1,3,0.429,10.8,4.442,0.821,0.810,0.807,,,,,
4,1,4,0.426,8.6,4.693,0.757,0.752,0.750,,,,,
5,1,5,0.430,6.7,4.401,0.672,0.668,0.662,,,,,
6,1,6,0.434,5.3,4.397,0.632,0.625,0.623,,,,,
7,1,7,0.429,4.3,4.021,0.587,0.569,0.569,,,,,
8,1,8,0.431,3.5,4.604,0.563,0.561,0.561,,,,,
9,1,9,0.431,2.8,4.285,0.531,0.525,0.526,,,,,
10,1,10,0.432,2.2,4.443,0.517,0.513,0.512,,,,,
11,2,1,0.430,17.2,3.975,0.972,0.959,0.956,,,,,"Line clearer with filtered sample, but not as clear as I thought it might be"
12,2,2,0.425,13.0,4.014,0.839,0.827,0.826,,,,,
13,2,3,0.430,9.7,4.186,0.753,0.745,0.743,,,,,
14,2,4,0.433,7.1,4.015,0.657,0.651,0.650,,,,,
15,2,5,0.437,5.4,4.031,0.606,0.600,0.601,,,,,
16,2,6,0.428,4.0,4.480,0.571,0.566,0.565,,,,,
17,2,7,0.431,3.0,4.525,0.537,0.525,0.532,,,,,
18,2,8,0.436,2.1,4.475,0.512,0.506,0.508,,,,,
19,2,9,0.431,1.5,4.514,0.488,0.482,0.484,,,,,
20,2,10,0.431,1.1,4.261,0.470,0.465,0.467,,,,,
21,2,11,0.430,0.8,4.038,0.459,0.456,0.457,,,,,Marked as spare
22,3,1,0.424,17.1,4.491,1.083,1.052,1.045,1.046,1.040,1.039,1.034,
23,3,2,0.432,13.7,4.476,0.979,0.952,0.944,0.946,0.940,0.937,0.935,
24,3,3,0.428,11.0,4.363,0.838,0.826,0.829,0.826,0.819,0.819,0.818,
25,3,4,0.429,9.0,4.417,0.761,0.756,0.755,0.752,0.746,0.745,0.745,
26,3,5,0.437,7.0,4.427,0.701,0.697,0.700,0.697,0.693,0.694,0.694,
27,3,6,0.438,5.9,4.346,0.651,0.653,0.648,0.652,0.648,0.647,0.650,
28,3,7,0.429,4.7,4.467,0.606,0.607,0.603,0.603,0.600,0.601,0.603,
29,3,8,0.437,3.8,4.460,0.578,0.580,0.577,0.577,0.574,0.574,0.572,
30,3,9,0.424,3.0,4.515,0.546,0.547,0.545,0.543,0.543,0.542,0.542,
31,3,10,0.435,2.4,4.516,0.532,0.533,0.531,0.530,0.529,0.529,0.530,
32,4,1,0.432,17.9,3.522,0.926,0.917,0.913,0.912,0.910,0.909,0.908,
33,4,2,0.436,12.6,3.490,0.779,0.774,0.765,0.764,0.764,0.762,0.761,
34,4,3,0.431,9.2,3.382,0.666,0.661,0.661,0.661,0.663,0.661,0.662,
35,4,4,0.436,6.7,3.158,0.589,0.586,0.588,0.585,0.589,0.588,0.588,
36,4,5,0.441,5.2,3.446,0.572,0.571,0.571,0.570,0.573,0.570,0.571,
37,4,6,0.432,3.8,3.497,0.533,0.528,0.528,0.528,0.531,0.530,0.530,
38,4,7,0.438,2.8,3.493,0.513,0.509,0.510,0.512,0.511,0.510,0.510,
39,4,8,0.435,2.0,3.584,0.493,0.490,0.490,0.492,0.492,0.492,0.491,
40,4,9,0.433,1.5,3.488,0.473,0.470,0.471,0.474,0.474,0.472,0.473,
41,4,10,0.435,1.1,3.551,0.464,0.462,0.460,0.466,0.463,0.462,0.465,
42,4,11,0.436,0.8,3.448,0.459,0.456,0.455,0.458,0.457,0.457,0.458,
